sr_no,state,ida,mp_name,mp_key,constituency,work_raw,work_id,work_category,work_description,recommended_date,recommended_amount,sanction_date,sr_no_san,work_raw_san,sanction_date_san,sanction_amount,work_status,sr_no_comp,work_raw_comp,completion_date,amount_disbursed,completion_status,expenditure_amount,expenditure_date,vendor_name,vendor_key,expenditure_transaction_count,payment_status,allocated_amount,allocation_state,allocation_constituency,calamity_count,calamity_consent_amount,calamity_types,effective_sanction_amount,recommendation_to_sanction_days,sanction_to_expenditure_days,project_duration_days,utilization_pct,cost_overrun_amount,cost_deviation_pct,remaining_sanction_amount,allocation_utilization_pct,effectively_completed,mp_total_projects,mp_total_sanction_amount,mp_total_expenditure_amount,mp_utilization_pct,category_median_sanction,cost_vs_category_median_pct,vendor_project_count,vendor_total_payment,vendor_average_payment,vendor_mp_count,vendor_state_count,vendor_payment_share_pct,flag_unusual_expenditure,flag_cost_overrun,flag_extreme_cost_overrun,flag_delayed_project,flag_suspicious_vendor,flag_multiple_payments,flag_duplicate_payment,flag_duplicate_beneficiary,flag_geographic_inconsistency,flag_transaction_outlier,anomaly_count,rule_score,ml_anomaly_score,risk_score,risk_category,risk_signal_strength,anomaly_type,explanation
1764,West Bengal,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),SK NURUL ISLAM,SK NURUL ISLAM,BASIRHAT,NA-Construction of water tanks,NA-CONSTRUCTIONOFWATERTANKS,Normal/Others,Installation of Arsenic Free Water Tank and others development at different places at Gopalpur I G.P under Haroa Block (SLNo. 48 to 50),2024-09-05,850000.0,,,,,,,,,,,,,,,,,,49000000.0,West Bengal,BASIRHAT,,,,850000.0,,,,,,,,1.7346938775510203,0,6,5750000.0,0.0,0.0,600000.0,41.66666666666667,0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,36.20518513275176,21.72,Low,14.6,None,No material anomaly signal detected.
1752,West Bengal,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),SK NURUL ISLAM,SK NURUL ISLAM,BASIRHAT,NA-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,NA-CREMATORIUMS/ENERGYEFFICIENTCREMATORIUMSORSTRUCTURESONBURIAL/CREMATIONGROUND,Normal/Others,Development of Chandipur Samsanghat under Chandipur G.P and Baduria Panchayet Samity (SL. No-36).,2024-09-05,500000.0,,,,,,,,,,,,,,,,,,49000000.0,West Bengal,BASIRHAT,,,,500000.0,,,,,,,,1.0204081632653061,0,6,5750000.0,0.0,0.0,600000.0,-16.666666666666664,0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,34.000751073877574,20.4,Low,13.0,None,No material anomaly signal detected.
326,West Bengal,Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA),JAGADISH CHANDRA BARMA BASUNIA,JAGADISH CHANDRA BARMA BASUNIA,COOCHBEHAR(SC),NA-Development of public parks,NA-DEVELOPMENTOFPUBLICPARKS,Normal/Others,CONSTRUCTION OF BOUNDARY WALL AT PANCHAYAT SAMITI PARK WITHIN SITALKUCHI DEV. BLOCK IN THE DISTRICT OF COOCH BEHAR.,2025-03-07,2823486.0,,,,,,,,,,,,,,,,,,168604641.11,West Bengal,COOCHBEHAR(SC),,,,2823486.0,,,,,,,,1.674619382605203,0,4,10184723.0,0.0,0.0,600000.0,370.581,0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,29.972905605761017,17.98,Low,10.0,None,No material anomaly signal detected.
2979,West Bengal,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),Kakoli Ghosh Dastidar,KAKOLI GHOSH DASTIDAR,BARASAT,NA-Installing community drinking water plants,NA-INSTALLINGCOMMUNITYDRINKINGWATERPLANTS,Normal/Others,Arsenic free drinking water,2024-09-15,150000.0,,,,,,,,,,,,,,,,,,147000000.0,West Bengal,BARASAT,,,,150000.0,,,,,,,,0.10204081632653061,0,4,13589911.0,0.0,0.0,600000.0,-75.0,0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,25.854182428543794,15.51,Low,6.9,None,No material anomaly signal detected.
4264,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,PUSHPENDRA SAROJ,KAUSHAMBI(SC),NA-Installing hand pumps,NA-INSTALLINGHANDPUMPS,Normal/Others,Balwant S/o Ram Subhag Yadav ke Ghar ke samne Handpump,2024-09-25,74000.0,,,,,,,,,,,,,,,,,,147000000.0,Uttar Pradesh,KAUSHAMBI(SC),,,,74000.0,,,,,,,,0.050340136054421766,0,3,198720.0,6218338.0,3129.1958534621576,600000.0,-87.66666666666667,0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,48.944159999579014,29.37,Low,24.2,None,No material anomaly signal detected.
1573,Tamil Nadu,TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA),K Subbarayan,K SUBBARAYAN,TIRUPPUR,NA-Installing tube-wells and borewells,NA-INSTALLINGTUBE-WELLSANDBOREWELLS,Normal/Others,"Providing new borewell and water supply facilities at ward no-21, Tiruppur corporation",2024-09-03,800000.0,,,,,,,,,,,,,,,,,,147000000.0,Tamil Nadu,TIRUPPUR,,,,800000.0,,,,,,,,0.5442176870748299,0,4,7630059.0,0.0,0.0,600000.0,33.33333333333333,0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,9.985772273535106,5.99,Low,0.0,None,No material anomaly signal detected.
3572,Kerala,PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA),Anto Antony,ANTO ANTONY,PATHANAMTHITTA,NA-Lighting of public spaces,NA-LIGHTINGOFPUBLICSPACES,Normal/Others,Providing 8 Meter LED Mini Mast Light at Mandappuzha Puthuval Colony in Ranni- Perunadu Grama Panchayat.(SC),2024-09-24,250000.0,,,,,,,,,,,,,,,,,,147000000.0,Kerala,PATHANAMTHITTA,,,,250000.0,,,,,,,,0.17006802721088435,0,6,2417190.0,801857.0,33.17310596188136,600000.0,-58.333333333333336,0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,19.583103436105148,11.75,Low,2.2,None,No material anomaly signal detected.
4509,Maharashtra,LATUR(DISTRICT COLLECTOR LATUR_IDA),DR KALGE SHIVAJI BANDAPPA,DR KALGE SHIVAJI BANDAPPA,LATUR(SC),NA-Providing drains and gutters for public drainage,NA-PROVIDINGDRAINSANDGUTTERSFORPUBLICDRAINAGE,Normal/Others,"Construction of drainage and gutter at Kokane House and others within Mhada Colony at Islampura,ward No.4,Latur Municipal Corporation",2024-09-27,1500000.0,,,,,,,,,,,,,,,,,,147000000.0,Maharashtra,LATUR(SC),,,,1500000.0,,,,,,,,1.0204081632653061,0,3,3091677.0,3585791.0,115.98207057205524,600000.0,150.0,0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,12.909656066032133,7.75,Low,0.0,None,No material anomaly signal detected.
3461,Kerala,KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA),Anto Antony,ANTO ANTONY,PATHANAMTHITTA,NA-Purchase Books for Library,NA-PURCHASEBOOKSFORLIBRARY,Bar and Associations,"Providing Library Books to Bar Association, Kanjirappally in Chirakkadavu Grama Panchayat.",2024-09-20,50000.0,,,,,,,,,,,,,,,,,,147000000.0,Kerala,PATHANAMTHITTA,,,,50000.0,,,,,,,,0.03401360544217687,0,6,2417190.0,801857.0,33.17310596188136,50000.0,0.0,0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,22.964750466987162,13.78,Low,4.7,None,No material anomaly signal detected.
2993,West Bengal,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),Kakoli Ghosh Dastidar,KAKOLI GHOSH DASTIDAR,BARASAT,"NA-Purchase of ambulances (Four, three and two wheelers)","NA-PURCHASEOFAMBULANCES(FOUR,THREEANDTWOWHEELERS)",Normal/Others,Ambulance,2024-09-15,1440000.0,,,,,,,,,,,,,,,,,,147000000.0,West Bengal,BARASAT,,,,1440000.0,,,,,,,,0.9795918367346939,0,4,13589911.0,0.0,0.0,600000.0,140.0,0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,25.16596597108165,15.1,Low,6.4,None,No material anomaly signal detected.
3233,Gujarat,RAJKOT(DISTRICT COLLECTOR RAJKOT_IDA),PARSHOTTAMBHAI RUPALA,PARSHOTTAMBHAI RUPALA,RAJKOT,"NA-Purchase of hearse van (Four, three and two wheelers)","NA-PURCHASEOFHEARSEVAN(FOUR,THREEANDTWOWHEELERS)",Normal/Others,Purchase of Hearse Van at Kanpar village,2024-09-19,300000.0,,,,,,,,,,,,,,,,,,147000000.0,Gujarat,RAJKOT,,,,300000.0,,,,,,,,0.20408163265306123,0,2,1138978.0,0.0,0.0,600000.0,-50.0,0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.5495462921248963,0.33,Low,0.0,None,No material anomaly signal detected.
325,West Bengal,Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA),JAGADISH CHANDRA BARMA BASUNIA,JAGADISH CHANDRA BARMA BASUNIA,COOCHBEHAR(SC),NA-Purchase of immovable sports equipment,NA-PURCHASEOFIMMOVABLESPORTSEQUIPMENT,Normal/Others,ESTIMATE FOR SUPPLYING WITH INSTALLATION OF PARKING GAME MATERIALS INSTRUMENTS TOYS FOR PANCHAYAT SAMITI PARK WITHIN SITALKUCHI DEV. BLOCK IN THE DISTRICT OF COOCH BEHAR.,2025-03-07,1077149.0,,,,,,,,,,,,,,,,,,168604641.11,West Bengal,COOCHBEHAR(SC),,,,1077149.0,,,,,,,,0.6388608242979819,0,4,10184723.0,0.0,0.0,600000.0,79.52483333333333,0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,16.78776372560113,10.07,Low,0.1,None,No material anomaly signal detected.
3998,Maharashtra,Dharashiv(DISTRICT COLLECTOR OSMANABAD_IDA),Omprakash Bhupalsinh Alias Pawan Rajenimbalkar,OMPRAKASH BHUPALSINH ALIAS PAWAN RAJENIMBALKAR,OSMANABAD,"NA-Purchase of IT systems, including hardware and software for educational purposes","NA-PURCHASEOFITSYSTEMS,INCLUDINGHARDWAREANDSOFTWAREFOREDUCATIONALPURPOSES",Normal/Others,"Zilla Parishad Primary School, Takli Buying a computer at Paranda",2024-09-24,250000.0,,,,,,,,,,,,,,,,,,184758519.11,Maharashtra,OSMANABAD,,,,250000.0,,,,,,,,0.13531175785791888,0,4,1599674.0,1978374.0,123.67357349059871,600000.0,-58.333333333333336,0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,13.065503159720961,7.84,Low,0.0,None,No material anomaly signal detected.
1978,Kerala,ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA),K. C VENUGOPAL,K C VENUGOPAL,ALAPPUZHA,NA-Setting up of kitchen and pantries,NA-SETTINGUPOFKITCHENANDPANTRIES,Normal/Others,"Setting up of a modern kitchen and Dining Hall in Govt. Muslim LPA, Punnapra",2024-09-06,800000.0,,,,,,,,,,,,,,,,,,147000000.0,Kerala,ALAPPUZHA,,,,800000.0,,,,,,,,0.5442176870748299,0,4,4658334.0,154707.0,3.321080025605721,600000.0,33.33333333333333,0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,7.523886491502467,4.51,Low,0.0,None,No material anomaly signal detected.
921,Andhra Pradesh,Eluru(DISTRICT COLLECTOR ELURU_IDA),Putta Mahesh Kumar,PUTTA MAHESH KUMAR,ELURU,NA-Setting up of laboratories,NA-SETTINGUPOFLABORATORIES,Normal/Others,Providing Laboratory equipment to Physical Science/Biological Science/Mathematics and Social Studies.,2024-08-26,400000.0,,,,,,,,,,,,,,,,,,147000000.0,Andhra Pradesh,ELURU,,,,400000.0,,,,,,,,0.27210884353741494,0,3,4004000.0,3534081.0,88.26376123876123,600000.0,-33.33333333333333,0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,8.69950381423236,5.22,Low,0.0,None,No material anomaly signal detected.
3443,Uttar Pradesh,DEORIA(DISTRICT MAGISTRATE DEORIA),RAMASHANKAR RAJBHAR,RAMASHANKAR RAJBHAR,SALEMPUR,NA-Street lights,NA-STREETLIGHTS,Normal/Others,"One 9 meter high mast LED light on town area Bhatpar rani, development block parisar",2024-09-24,319000.0,,,,,,,,,,,,,,,,,,160056927.07,Uttar Pradesh,SALEMPUR,,,,319000.0,,,,,,,,0.1993040887636729,0,3,1619000.0,1692076.0,104.5136504014824,600000.0,-46.833333333333336,0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,4.972861217122061,2.98,Low,0.0,None,No material anomaly signal detected.
,Gujarat,Ahmedabad(DISTRICT COLLECTOR AHMADABAD_IDA),Devusinh Jesingbhai Chauhan,DEVUSINH JESINGBHAI CHAUHAN,KHEDA,,WS/MP005/2024,Normal/Others,"Construction of C.C Road at Bhalan Para Vistar, Keshaji Mangaji House towards Dasrathbhai Somabhai House",2024-10-01,,,4943,"WS/ MP005/2024-2025/145074-Construction of roads, link roads, pathways or any other road with or without drainage system",2025-03-29,450000.0,Physical Inspection,9825,"WS/ MP005/2024-2025/175233-Construction of roads, link roads, pathways or any other road with or without drainage system",2025-07-05,450000.0,Completed,,,,,,,147000000.0,Gujarat,KHEDA,,,,450000.0,,,277.0,,,,,0.30612244897959184,1,1,450000.0,0.0,0.0,600000.0,-25.0,0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,5.6296204158916785,3.38,Low,0.0,None,No material anomaly signal detected.
4378,Sikkim,Gangtok(DISTRICT COLLECTOR EAST DISTRICT_IDA),Indra Hang Subba,INDRA HANG SUBBA,SIKKIM,"WS/MP013/2024-2025/143927-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",WS/MP013/2024,Normal/Others,Protective wall at needed locations below Indira Bye pass-Helipad road,2024-09-27,3000000.0,2025-03-06,8171,"WS/MP013/2024-2025/151025-Purchase of IT systems, including hardware and software for educational purposes",2025-03-25,5000000.0,Work Completed,6276,"WS/MP013/2024-2025/151025-Purchase of IT systems, including hardware and software for educational purposes",2025-11-06,5000000.0,Completed,,,,,,,152003923.11,Sikkim,SIKKIM,,,,5000000.0,160.0,,405.0,,,,,3.289388785302384,1,1,5000000.0,0.0,0.0,600000.0,733.3333333333333,0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,35.23254313334773,21.14,Low,13.9,None,No material anomaly signal detected.
4202,Tamil Nadu,THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA),S. Jagathrakshakan,S JAGATHRAKSHAKAN,ARAKKONAM,WS/MP017/2024-2025/143500-Renovation of ponds and lakes,WS/MP017/2024,Normal/Others,Chekkanur to Ramakrishnapuram Road Big Lake Retaining Work,2024-09-25,999654.0,2024-10-01,4133,WS/MP017/2024-2025/143499-Construction of veterinary hospitals and dispensaries,2024-10-07,996610.0,Physical Inspection,18416,"WS/MP017/2024-2025/160038-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)",2025-10-15,1199784.0,Completed,,,,,,,180589332.34,Tamil Nadu,ARAKKONAM,,,,996610.0,6.0,,385.0,,,,,0.5518653771440152,1,1,996610.0,0.0,0.0,600000.0,66.10166666666667,0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,8.512751381469034,5.11,Low,0.0,None,No material anomaly signal detected.
1678,Andhra Pradesh,Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA),GM Harish Balayogi,GM HARISH BALAYOGI,AMALAPURAM(SC),WS/MP18001/2024-2025/138858-Construction of community centers and community halls,WS/MP18001/2024,Normal/Others,Construction of OC Community hall at Machara,2024-09-04,3507771.0,2024-11-27,1663,WS/MP18001/2024-2025/138858-Construction of community centers and community halls,2024-11-27,3507771.0,Physical Inspection,15575,"WS/MP18001/2024-2025/163131-Construction of roads, link roads, pathways or any other road with or without drainage system",2026-01-06,11586983.0,Completed,,,,,,,147000000.0,Andhra Pradesh,AMALAPURAM(SC),,,,3507771.0,84.0,,489.0,,,,,2.386238775510204,1,1,3507771.0,0.0,0.0,600000.0,484.6285,0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,25.823035566710907,15.49,Low,6.9,None,No material anomaly signal detected.
,Andhra Pradesh,Alluri Sitharama Raju(DISTRICT COLLECTOR ALLURI SITHARAMARAJU_IDA),Gumma Thanuja Rani,GUMMA THANUJA RANI,ARAKU(ST),,WS/MP18004/2024,Normal/Others,purchase of street lights,2024-11-12,,,8851,WS/MP18004/2024-2025/152147-Street lights,2025-01-20,1394400.0,Vendor Identification,21137,"WS/MP18004/2024-2025/161321-Construction of roads, link roads, pathways or any other road with or without drainage system",2025-11-24,2394074.0,Completed,,,,,,,149458905.11,Andhra Pradesh,ARAKU(ST),,,,1394400.0,,,377.0,,,,,0.9329654857124358,1,1,1394400.0,0.0,0.0,600000.0,132.4,0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,3.302257958725997,1.98,Low,0.0,None,No material anomaly signal detected.
3896,Andhra Pradesh,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),DAGGUMALLA PRASADA RAO,DAGGUMALLA PRASADA RAO,CHITTOOR,WS/MP18006/2024-2025/142933-Construction of bus-sheds or bus-stops,WS/MP18006/2024,Normal/Others,"Construction of Bus Shelter in Thotavaripalli Village of Ayyappagari (GP), Puthalapattu Mandal of Puthalapattu Constituency",2024-09-23,350000.0,2024-09-27,7562,"WS/MP18006/2024-2025/150015-Construction of roads, link roads, pathways or any other road with or without drainage system",2024-11-11,500000.0,Work Completed,17502,WS/MP18006/2024-2025/141947-Construction of water tanks,2025-10-06,3037130.0,Completed,,,,,,,147000000.0,Andhra Pradesh,CHITTOOR,,,,500000.0,4.0,,378.0,,,,,0.3401360544217687,1,1,500000.0,0.0,0.0,600000.0,-16.666666666666664,0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,5.844105522223524,3.51,Low,0.0,None,No material anomaly signal detected.
