work_id,state,ida,mp_name,constituency,work_category,work_description,recommended_amount,effective_sanction_amount,expenditure_amount,amount_disbursed,allocated_amount,work_status,completion_status,effectively_completed,recommended_date,sanction_date,expenditure_date,completion_date,recommendation_to_sanction_days,sanction_to_expenditure_days,project_duration_days,utilization_pct,cost_overrun_amount,cost_deviation_pct,remaining_sanction_amount,vendor_name,vendor_project_count,vendor_total_payment,vendor_average_payment,vendor_mp_count,vendor_state_count,vendor_payment_share_pct,expenditure_transaction_count,calamity_count,calamity_consent_amount,anomaly_count,anomaly_type,ml_anomaly_score,rule_score,risk_score,risk_category,risk_signal_strength,explanation
WS/MP18328/2026,Himachal Pradesh,MANDI(DEPUTY COMMISSIONER MANDI_IDA),Kangana Ranaut,MANDI,Bar and Associations,Purchasing of Books for Library of BAR Assocation Chachiot at Gohar. Work Executed By - BAR Association Chachiot at Gohar District Mandi.,,50000.0,3465000.0,,147000000.0,Vendor Identification,,0,2024-10-18,,2026-08-27,,,,,6930.0,3415000.0,6830.0,-3415000.0,GP Barot,1,3465000.0,3465000.0,1,1,100.0,27.0,,,3,Cost Overrun,85.19884494891463,26,61.52,High,64.4,cost deviation is unusually high
WS/MP823/2025,West Bengal,NADIA(DISTRICT MAGISTRATE NADIA_IDA),Ms Mahua Moitra,KRISHNANAGAR,Normal/Others,"Low land upgradation of hospital garden under Natidanga-I GP, Karimpur-II Block.",72859.0,72859.0,3994199.0,99713.0,159865046.0,Physical Inspection,Completed,1,2024-09-08,2025-07-02,2026-08-21,2026-07-31,297.0,415.0,691.0,5482.094181913009,3921340.0,5382.094181913009,-3921340.0,AGAMESWARI CO OPERATIVE LABOUR CONTRACT AND CONSTRUCTION SOCIETY LTD,1,3994199.0,3994199.0,1,1,100.0,1.0,,,2,Cost Overrun,83.33135184015144,26,60.4,High,63.0,cost deviation is unusually high
WS/MP18242/2025,Uttar Pradesh,SULTANPUR(DISTRICT MAGISTRATE SULTANPUR_IDA),RAMBHUAL NISHAD,SULTANPUR,Normal/Others,"For construction of teaching room in Mukund Madhav Bhishma Primary School, Ishakpur.",,1500000.0,9707139.0,4520176.0,151231957.11,Vendor Identification,Completed,1,2024-10-17,,2026-08-07,2026-08-21,,,673.0,647.1426,8207139.0,547.1426,-8207139.0,Gaur Construction,1,9707139.0,9707139.0,1,1,100.0,1.0,,,1,ML Anomaly,93.72500565594608,8,59.44,Medium,61.8,expenditure exceeds effective sanctioned amount
WS/MP18019/2025,Assam,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),AMARSING TISSO,Diphu (ST),Normal/Others,"Construction of RCC Bridge at Den Teron Gaon, Namati",2500000.0,2500000.0,1259391.0,181264.0,147000000.0,Work partially Completed,Completed,1,2024-10-28,2025-04-04,2026-08-27,2026-02-26,158.0,510.0,486.0,50.37564,-1240609.0,-49.62436,1240609.0,GAUTAM HANSE,3,8357353.0,2785784.3333333335,1,1,15.069256976461325,8.0,,,1,ML Anomaly,97.91734917469913,0,58.75,Medium,60.9,multivariate pattern is unusual versus uploaded batch
WS/MP18307/2025,Maharashtra,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),Piyush Vedprakash Goyal,MUMBAI NORTH,Normal/Others,"Ward 10 - Construction of drainge and CC passages, Pavour block at Nutan Nagar Dahisar (West)",1500000.0,1500000.0,7993929.0,,147000000.0,Work partially Completed,,1,2024-09-25,2026-01-30,2026-08-19,,492.0,201.0,,532.9286,6493929.0,432.92859999999996,-6493929.0,RENUKA CO OP LABOUR SOCIETY LIMITED,1,7993929.0,7993929.0,1,1,100.0,4.0,,,2,ML Anomaly,92.27726511842357,8,58.57,Medium,60.7,expenditure exceeds effective sanctioned amount
WS/MP18227/2025,Uttar Pradesh,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),DAROGA PRASAD SAROJ,LALGANJ (SC),Normal/Others,Tahsil martinganj me adhivakta bhawan,,1000000.0,7568246.0,284857.0,147000000.0,Sanction,Completed,1,2024-11-08,,2026-08-21,2026-03-25,,,502.0,756.8246,6568246.0,656.8246,-6568246.0,Krishna Kumar Contractor,1,7568246.0,7568246.0,1,1,100.0,29.0,,,3,Duplicate Payment,79.86181195696372,26,58.32,Medium,60.4,expenditure exceeds effective sanctioned amount; possible repeated work/vendor/amount payment pattern
WS/MP351/2026,Kerala,KANNUR(DISTRICT COLLECTOR KANNUR_IDA),Shri Kumbakudi Sudhakaran,KANNUR,Normal/Others,Installation of High Mast Light at NEAR KAPPAD C.P.STORE ((08 Meter High Mast With 5x150 Watts -LED Flood LIGHT) IN Kannur Corporation.,300000.0,300000.0,440000.0,,147000000.0,Physical Inspection,,0,2024-09-22,2026-06-25,2026-08-19,,641.0,55.0,,146.66666666666666,140000.0,46.666666666666664,-140000.0,Keltron Component complex Ltd Kannur,3,4121605.0,1373868.3333333333,2,1,10.675452887891975,4.0,,,3,Duplicate Payment,77.52480215468425,26,56.91,Medium,58.6,expenditure exceeds effective sanctioned amount; possible repeated work/vendor/amount payment pattern
WS/MP18112/2025,Maharashtra,AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA),BALWANT BASWANT WANKHADE,AMRAVATI(SC),Normal/Others,Construction of road At Bhiwapur Ta Tiosa,700000.0,700000.0,9075498.0,692605.0,198293678.0,Vendor Identification,Completed,1,2024-09-27,2025-05-15,2026-08-24,2025-11-21,230.0,466.0,420.0,1296.4997142857144,8375498.0,1196.4997142857144,-8375498.0,JWALAMUKHI JAGDAMBA MAJUR KAMGAR SAHAKARI SANSTHA,1,9075498.0,9075498.0,1,1,100.0,10.0,,,2,ML Anomaly,87.93336275118483,8,55.96,Medium,57.4,expenditure exceeds effective sanctioned amount
WS/MP492/2024,Uttar Pradesh,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA),Shri Arun Kumar Sagar,SHAHJAHANPUR(SC),Normal/Others,Installation of 156 LED Highmast Lights for Rural and Urban areas as per enclosed List,37908000.0,37908000.0,,9900000.0,147000000.0,Physical Inspection,Completed,1,2024-08-07,2024-08-28,,2024-11-25,21.0,,110.0,,,,,,0,0.0,0.0,0,0,,,,,0,ML Anomaly,91.02874777969477,0,54.62,Medium,55.8,multivariate pattern is unusual versus uploaded batch
WS/MP370/2025,Odisha,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),Shri Jual Oram,SUNDARGARH (ST),Normal/Others,"Installation Transformer near Banabasi Kalyan Ashram, Sundargarh",,998256.0,5272648.0,500000.0,173096756.91,Work partially Completed,Completed,1,2024-10-04,,2026-08-25,2025-11-26,,,418.0,528.1859563078008,4274392.0,428.1859563078008,-4274392.0,BDO SUBDEGA PS MISC,1,5272648.0,5272648.0,1,1,100.0,21.0,1.0,10000000.0,3,Duplicate Payment,70.97558967535326,26,52.99,Medium,53.7,expenditure exceeds effective sanctioned amount; possible repeated work/vendor/amount payment pattern
WS/MP351/2025,Kerala,KANNUR(DISTRICT COLLECTOR KANNUR_IDA),Shri Kumbakudi Sudhakaran,KANNUR,Normal/Others,Pachapoika Punnad Stadium Road Tarring-Vengad Grama Panchayath,500000.0,500000.0,2691605.0,400000.0,147000000.0,Work Completed,Completed,1,2025-10-02,2026-02-19,2026-08-19,2026-05-08,140.0,181.0,218.0,538.321,2191605.0,438.321,-2191605.0,Keltron Component complex Ltd Kannur,3,4121605.0,1373868.3333333333,2,1,65.30477811435108,15.0,,,3,Duplicate Payment,70.94216074214785,26,52.97,Medium,53.7,expenditure exceeds effective sanctioned amount; possible repeated work/vendor/amount payment pattern
WS/MP350/2025,Kerala,KANNUR(DISTRICT COLLECTOR KANNUR_IDA),Shri Rajmohan Unnithan,KASARAGOD,Normal/Others,Construction and Tarring/Concrete work for the Podithadam SC Colony Road in Ward 8 of Ezhom Grama Panchayath (First or second reach as required by concerend LGIs) [Work to be included under SC Category],600000.0,600000.0,990000.0,120000.0,156754633.11,Physical Inspection,Completed,1,2024-09-24,2026-02-19,2026-08-19,2026-01-13,513.0,181.0,476.0,165.0,390000.0,65.0,-390000.0,Keltron Component complex Ltd Kannur,3,4121605.0,1373868.3333333333,2,1,24.01976899775694,8.0,,,3,Duplicate Payment,70.53605525531177,26,52.72,Medium,53.4,expenditure exceeds effective sanctioned amount; possible repeated work/vendor/amount payment pattern
WS/MP18242/2024,Uttar Pradesh,SULTANPUR(DISTRICT MAGISTRATE SULTANPUR_IDA),RAMBHUAL NISHAD,SULTANPUR,Normal/Others,As per list attached of 44 places of installation of high mast led light - 6 LED for different blocks and villages.,,9852234.0,,9851072.0,151231957.11,Physical Inspection,Completed,1,2024-10-05,,,2026-08-21,,,685.0,,,,,,0,0.0,0.0,0,0,,,,,0,ML Anomaly,86.46330669449506,0,51.88,Medium,52.4,multivariate pattern is unusual versus uploaded batch
WS/MP719/2025,Rajasthan,AJMER(DISTRICT COLLECTOR AJMER_IDA),Bhagirath Chaudhary,AJMER,Normal/Others,"Construction of community Halls at ward no. 55, ajmer south assembly constituency.",,5100000.0,4631242.0,1026725.0,147000000.0,Vendor Identification,Completed,1,2024-11-08,,2026-08-24,2026-03-18,,,495.0,90.80866666666667,-468758.0,-9.191333333333333,468758.0,omparkash,1,4631242.0,4631242.0,1,1,100.0,91.0,,,1,ML Anomaly,84.9415557424878,0,50.96,Medium,51.2,multivariate pattern is unusual versus uploaded batch
WS/MP18201/2024,Uttar Pradesh,BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA),NEERAJ MAURYA,AONLA,Normal/Others,supply and installation of led semi high mast light at 274 different places in district budaun,46470400.0,46470400.0,,46470400.0,147000000.0,Physical Inspection,Completed,1,2024-09-15,2024-11-23,,2025-07-19,69.0,,307.0,,,,,,0,0.0,0.0,0,0,,,,,0,ML Anomaly,84.3491177232096,0,50.61,Medium,50.8,multivariate pattern is unusual versus uploaded batch
WS/MP329/2024,Haryana,HISAR(DEPUTY COMMISSIONER HISSAR_IDA),Shri Dharambir Singh,BHIWANI MAHENDRAGARH,Trust and Society,"Const. of room/bathroom/Canteen on 2nd floor for Yadav Dharamshala, Ward No.17",,2096704.0,41500.0,800000.0,147000000.0,Work partially Completed,Completed,1,2024-11-04,,2026-08-26,2026-02-12,,,465.0,1.9792970300051889,-2055204.0,-98.02070296999482,2055204.0,SDO OP Division DHBVN Atela Kalan,2,2161765.0,1080882.5,1,1,1.91972762996903,1.0,,,0,ML Anomaly,80.87611074482847,0,48.53,Medium,48.2,multivariate pattern is unusual versus uploaded batch
WS/MP18067/2025,Haryana,SONIPAT(DEPUTY COMMISSIONER SONEPAT_IDA),SATPAL BRAHAMCHARI,SONEPAT,Normal/Others,Installation of Fixed Gym equipments,300000.0,545000.0,4549243.0,542851.0,147000000.0,Work partially Completed,Completed,1,2025-03-15,2025-05-08,2026-08-24,2025-12-05,54.0,473.0,265.0,834.7234862385321,4004243.0,734.7234862385321,-4004243.0,THE VK COOPERATIVE LABOUR AND CONSTRUCTION SOCIETY LIMITED,1,4549243.0,4549243.0,1,1,100.0,34.0,,,2,ML Anomaly,74.01108006999507,8,47.61,Medium,47.0,expenditure exceeds effective sanctioned amount
WS/MP243/2025,West Bengal,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),Kakoli Ghosh Dastidar,BARASAT,Normal/Others,Development of open gym with Children park with solar light and boundary,988121.0,11000000.0,,549779.0,147000000.0,Work partially Completed,Completed,1,2024-09-15,2025-08-08,,2025-11-26,327.0,,437.0,,,,,,0,0.0,0.0,0,0,,,,,0,ML Anomaly,76.319487409502,0,45.79,Medium,44.7,multivariate pattern is unusual versus uploaded batch
WS/MP18076/2026,Karnataka,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),DR C N MANJUNATH,BANGALORE RURAL,Trust and Society,"Construction of New Building Nammane Summane Destitute Orphanage at No.18 Gangondanahalli, Chammundeshwari Layout, Lakshmipura Post, Dasanapura Hobli, Bengaluru North Taluk, Pin-560073",,500000.0,2552500.0,,147000000.0,Sanction,,0,2024-10-09,,2026-08-24,,,,,510.50000000000006,2052500.0,410.50000000000006,-2052500.0,TUMKUR NIRMITHI KENDRA,2,2802097.0,1401048.5,1,1,91.09249251542684,6.0,1.0,500000.0,2,None,69.44338393587968,8,44.87,Medium,43.6,expenditure exceeds effective sanctioned amount
WS/MP443/2024,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Normal/Others,General workshed with toilets full brick work (40×30feet),2353000.0,16177075.0,,2258932.0,147000000.0,Work Completed,Completed,1,2024-09-03,2024-11-09,,2026-02-23,67.0,,538.0,,,,,,0,0.0,0.0,0,0,,,,,0,ML Anomaly,73.26717302340498,0,43.96,Medium,42.4,multivariate pattern is unusual versus uploaded batch
WS/MP18219/2025,Uttar Pradesh,BANDA(DISTRICT MAGISTRATE BANDA_IDA),AJENDRA SINGH LODHI,HAMIRPUR_UP,Normal/Others,tindwari me bhidaura road par stainless steel (fabricated) yatri shed,700000.0,400000.0,5326879.0,698961.0,147000000.0,Vendor Identification,Completed,1,2024-11-19,2025-04-30,2026-07-17,2026-01-22,162.0,443.0,429.0,1331.71975,4926879.0,1231.71975,-4926879.0,Lakshya Contruction,1,5326879.0,5326879.0,1,1,100.0,15.0,,,3,Duplicate Payment,55.291823617232204,26,43.58,Medium,42.0,expenditure exceeds effective sanctioned amount; possible repeated work/vendor/amount payment pattern
WS/MP18328/2025,Himachal Pradesh,KULLU(DEPUTY COMMISSIONER KULLU_IDA),Kangana Ranaut,MANDI,Normal/Others,"Construction of Proposed 2nd floor cum examination hall Saraswati Vidya Mandir School Village Bhalyani, Tehsil & District Kullu H.P. Work Executed By- BDO Kullu, (SMC Saraswati Vidya Mandir Bhalyani)",,1230000.0,5001685.0,100000.0,147000000.0,Vendor Identification,Completed,1,2024-10-18,,2026-08-27,2026-08-25,,,676.0,406.6410569105691,3771685.0,306.6410569105691,-3771685.0,GRAM PANCHAYAT KUMMI,1,5001685.0,5001685.0,1,1,100.0,57.0,,,2,None,65.70843609188574,8,42.63,Medium,40.8,expenditure exceeds effective sanctioned amount
NA-CONSTRUCTIONOFROOMSANDHALLSINSCHOOLANDCOLLEGES,West Bengal,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),SK NURUL ISLAM,BASIRHAT,Trust and Society,Construction of Building of Jamia Rahmania Madrasah run by All India Sunnat Al Jamayat under Ghorarash Kulingram G.P & Basirhat II Panchayat Samity. (Sl.No-2),2000000.0,2000000.0,,,49000000.0,,,0,2024-09-20,,,,,,,,,,,,0,0.0,0.0,0,0,,,,,0,ML Anomaly,70.85697955040442,0,42.51,Medium,40.6,multivariate pattern is unusual versus uploaded batch
WS/MP18209/2025,Uttar Pradesh,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),CHANDAN CHAUHAN,BIJNOR,Normal/Others,"CC road and drain construction work of the road from Main Road to Kabristaan in Village Sherpur, block- Purkaji.",603000.0,312700.0,5164365.0,1380021.0,147000000.0,Work partially Completed,Completed,1,2024-12-17,2025-06-04,2026-08-20,2026-04-18,169.0,442.0,487.0,1651.5398145187082,4851665.0,1551.539814518708,-4851665.0,SATYAVER SIGH CONTRACTOR AND SUPPLIER,1,5164365.0,5164365.0,1,1,100.0,15.0,,,2,None,65.18922141930085,8,42.31,Medium,40.4,expenditure exceeds effective sanctioned amount
WS/MP18199/2025,Uttar Pradesh,AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA),LALJI VERMA,AMBEDKAR NAGAR,Trust and Society,RAM A JANTA I.C. BARIYAWAN AMBEDKAR NAGAR KA BOUNDARY WALL KA NIRMAN KARYA,,500000.0,4741067.0,500000.0,147000000.0,Physical Inspection,Completed,1,2024-10-11,,2026-08-13,2026-07-26,,,653.0,948.2134,4241067.0,848.2134,-4241067.0,MS SHOBHNATH VERMA,1,4741067.0,4741067.0,1,1,100.0,7.0,,,2,None,64.52031552606132,8,41.91,Medium,39.9,expenditure exceeds effective sanctioned amount
WS/MP18225/2024,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Normal/Others,Lavkush Singh Pasi S/o Gajraj Singh ke ghar ke samne handpump,73920.0,73920.0,59156.0,73920.0,147000000.0,Physical Inspection,Completed,1,2024-09-30,2025-01-17,2025-12-22,2026-02-17,109.0,339.0,505.0,80.02705627705627,-14764.0,-19.97294372294372,14764.0,VIVEK ENTERPRISES,1,59156.0,59156.0,1,1,100.0,2.0,,,2,Duplicate Payment,56.27601985178424,18,40.97,Medium,38.7,possible repeated work/vendor/amount payment pattern
WS/MP571/2025,Goa,NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA),Shripad Yesso Naik,NORTH GOA,Normal/Others,Purchase of 1 Ambulances to Institue of Psychiatry and Human Behavior Bambolim Goa.,2500000.0,2500000.0,61425.0,3108723.0,147000000.0,Work partially Completed,Completed,1,2024-09-26,2026-01-07,2026-08-11,2025-09-15,468.0,216.0,354.0,2.4570000000000003,-2438575.0,-97.543,2438575.0,Laxmi Health Agencies,1,61425.0,61425.0,1,1,100.0,1.0,,,0,None,68.12921291200756,0,40.88,Medium,38.6,No material anomaly signal detected.
WS/MP18076/2025,Karnataka,Bengaluru South(DEPUTY COMMISSIONER RAMANAGARA_IDA),DR C N MANJUNATH,BANGALORE RURAL,Normal/Others,"Construction of New Building, Vividhodesha Prarthamika Grameena Krushi Sahakara Sangha at Thagachakere Village, Kasaba Hobli, Channapatana Taluk, Ramanagara Disrtrict.",1000000.0,300000.0,249597.0,300000.0,147000000.0,Work Completed,Completed,1,2024-09-14,2025-05-15,2026-07-10,2026-05-15,243.0,421.0,608.0,83.199,-50403.0,-16.801,50403.0,TUMKUR NIRMITHI KENDRA,2,2802097.0,1401048.5,1,1,8.907507484573161,2.0,1.0,500000.0,1,None,66.74649798878036,0,40.05,Medium,37.6,No material anomaly signal detected.
WS/MP458/2026,Tamil Nadu,Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA),Kanimozhi Karunanidhi,THOOTHUKKUDI,Normal/Others,Construction of 100000 litre capacity of OHT at Adithanar colony in Kayamozhi Panchayat in Tiruchendur Union,,3000000.0,4930818.0,,147000000.0,Vendor Identification,,0,2024-11-02,,2026-07-22,,,,,164.36059999999998,1930818.0,64.3606,-1930818.0,Sree and Co,1,4930818.0,4930818.0,1,1,100.0,3.0,,,2,None,61.315971757880874,8,39.99,Medium,37.5,expenditure exceeds effective sanctioned amount
WS/MP577/2025,Gujarat,Mahisagar(COLLECTOR MAHISAGAR_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,unnati madhymik shala hirapur ma 1 room nu kam,500000.0,350000.0,3912261.0,500000.0,147000000.0,Sanction,Completed,1,2024-09-21,2025-04-30,2026-08-26,2025-08-24,221.0,483.0,337.0,1117.788857142857,3562261.0,1017.7888571428572,-3562261.0,GRUP GRAMPANCHAYAT SANJELI,1,3912261.0,3912261.0,1,1,100.0,12.0,,,2,None,60.544126255231944,8,39.53,Medium,36.9,expenditure exceeds effective sanctioned amount
WS/MP866/2024,Tamil Nadu,CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA),Kalanidhi Veeraswamy,CHENNAI NORTH,Normal/Others,"Construction of Chennai Girls Higher Secondary School Building (G+1)12 class rooms at Buddha street om Dn -48, Zone-04",,10000000.0,,,171500000.0,Time Estimation,,0,2024-11-13,,,,,,,,,,,,0,0.0,0.0,0,0,,,,,0,None,64.46553967222268,0,38.68,Medium,35.8,No material anomaly signal detected.
